Athlete,Split,R2 Value
Warholm,H1,0.5107632556921514
Warholm,H2,0.32068422349896947
Warholm,H3,0.3788830777002445
Warholm,H4,0.4752695912384337
Warholm,H5,0.4821305116296549
Warholm,H6,0.5310902792470685
Warholm,H7,0.48255125834882895
Warholm,H8,0.6192876662490475
Warholm,H9,0.6264921795383399
Warholm,H10,0.4086187074643816
Warholm,Run in,0.17665058215815002
Benjamin,H1,0.00032490542607100574
Benjamin,H2,0.039673646884187556
Benjamin,H3,0.028359657057127948
Benjamin,H4,0.12836700686763786
Benjamin,H5,0.5261027289070105
Benjamin,H6,0.4486785423669941
Benjamin,H7,0.5082219297384666
Benjamin,H8,0.5232592777006123
Benjamin,H9,0.17542829088523637
Benjamin,H10,0.1373162721951502
Benjamin,Run in,0.08839778124378389
dos Santos,H1,0.3611376832344308
dos Santos,H2,0.5473905428720102
dos Santos,H3,0.2764551867090278
dos Santos,H4,0.4557173204573035
dos Santos,H5,0.3983780953006123
dos Santos,H6,0.17003030049682571
dos Santos,H7,0.2917081154392305
dos Santos,H8,0.35344421727803615
dos Santos,H9,0.3552265275612265
dos Santos,H10,0.1905450050935444
dos Santos,Run in,0.06816737448889672
